Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I7572,regulating,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7573,GTEX-XMD1-0011-R5A-SM-4AT47,GTEx Tissue Sample Gene Expression Profiles,1,0.841361,,,,,,,,,
I7574,GTF3C4,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7575,blood tacrolimus concentrations,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7576,Hyponatremia,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7577,highgrade,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7578,Quinidine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7579,GTEX-XPVG-0006-SM-4B65Z,GTEx Tissue Sample Gene Expression Profiles,-1,-0.834137,,,,,,,,,
I7580,skeletal muscle,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.146801,,,,,,,,,
I7581,T98G,CCLE Cell Line Gene CNV Profiles,1,1.4906,,,,,,,,,
I7582,Nephrotic Syndrome,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7583,Recurrent Endometrial Cancer,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7584,fibrosarcoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.398735,,,,,,,,,
I7585,Sexual Dysfunctions,,,,,,,,,,,,
I7586,t-84 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.236921,,,,,,,,,
I7587,pharmacogenomic,GAD High Level Gene-Disease Associations,1,0.867114,,,,,,,,,
I7588,Melanoma,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7589,ESR1-22446102-UTERI-MOUSE,CHEA Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I7590,GTEX-QVUS-0011-R10A-SM-3GIK3,GTEx Tissue Sample Gene Expression Profiles,1,1.01944,,,,,,,,,
I7591,JUN,ENCODE Transcription Factor Targets,1,null,,,,,,,,,
I7592,WNK1,Kinase Library Serine Threonine Kinome Atlas,1,null,,,,,,,,,
I7593,bile duct cancer,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.418768,,,,,,,,,
I7594,Prostate adenocarcinoma_PRAD_TCGA-VP-A87C-01A-11R-A352-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7595,Respiration Disorders,CTD Gene-Disease Associations,1,1.34983,,,,,,,,,
I7596,assembly,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7597,endosome,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.230958,,,,,,,,,
I7598,underlies,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7599,cellular,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7600,PRC_DEPLETION_GDS3532_96_human_U2OS cells,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,,,,,,,,,
I7601,Phenytoin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7602,hiv; cyp3a activity; prostate cancer,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7603,ttt,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7604,rs2108622,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7605,nortriptyline,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7606,GTEX-PWCY-2226-SM-2S1OP,GTEx Tissue Sample Gene Expression Profiles,-1,-0.870693,,,,,,,,,
I7607,CLPP_KO_GSE40207_379_mouse_liver,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null,,,,,,,,,
I7608,nci-h69 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.493745,,,,,,,,,
I7609,Prostate adenocarcinoma_PRAD_TCGA-CH-5792-01A-11R-1580-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7610,Hepatitis B,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7611,alveolar,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7612,Nicardipine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I7613,Chlorambucil,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7614,potencies,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7615,Hearing Disorders,CTD Gene-Disease Associations,1,1.76092,,,,,,,,,
I7616,g173c,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7617,Acute Chest Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7618,valuable,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7619,SGOL2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7620,burkitt lymphoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.330094,,,,,,,,,
I7621,substantiate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7622,Malignant Tumor Of Cervix,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7623,NPTX2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7624,Deoxyglucose,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7625,absorbed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7626,tacrolimus dose requirements,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7627,LS-1034,GDSC Cell Line Gene Expression Profiles,1,1.91836,,,,,,,,,
I7628,net,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7629,piperine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7630,porcine,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7631,use,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7632,striatum_3 yrs_F_12836,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,1.05251,,,,,,,,,
I7633,IGF1R_knockout_151_GSE32936,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,1,1.38772,,,,,,,,,
I7634,ighv,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7635,15604263-Table2,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I7636,BRD-K44432556_-666_ASC_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I7637,BRD-K30707190_PNU 74654_NCIH596_6.0_h_80.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7638,Nasal Polyps,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7639,Kidney Cortex Necrosis,CTD Gene-Disease Associations,1,1.02447,,,,,,,,,
I7640,endothelium,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.23093,,,,,,,,,
I7641,promotes,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7642,RAD51D,MSigDB Cancer Gene Co-expression Modules,1,null,,,,,,,,,
I7643,Stomach Diseases,CTD Gene-Disease Associations,1,1.29256,,,,,,,,,
I7644,nr3c1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7645,primary somatosensory cortex (area S1,,,,,,,,,,,,
I7646,Micronuclei,,,,,,,,,,,,
I7647,chemical,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7648,epilepsy,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7649,TAF2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7650,NCVADR RES,BioGPS Cell Line Gene Expression Profiles,1,2.41625,,,,,,,,,
I7651,closely,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7652,leukocyte disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.01723,,,,,,,,,
I7653,emesis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7654,PF382,CCLE Cell Line Gene Expression Profiles,-1,-1.57627,,,,,,,,,
I7655,involve,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7656,aspects,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7657,atm,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7658,Tinnitus,CTD Gene-Disease Associations,1,2.04643,,,,,,,,,
I7659,single,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7660,GTEX-QEL4-1226-SM-447A4,GTEx Tissue Sample Gene Expression Profiles,1,0.899474,,,,,,,,,
I7661,Gramicidin D,DrugBank Drug Targets,1,null,,,,,,,,,
I7662,Galactorrhea,CTD Gene-Disease Associations,1,1.052,,,,,,,,,
I7663,OC-314,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I7664,epilepsy,,,,,,,,,,,,
I7665,blood vessel endothelium,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.45471,,,,,,,,,
I7666,Indinavir,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I7667,rab5,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7668,leukopenia; neutropenia,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7669,Lansoprazole,DrugBank Drug Targets,1,null,,,,,,,,,
I7670,Uterine Corpus Sarcoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7671,Immune Thrombocytopenic Purpura,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7672,BRD-K71799778_BML-259_SW620_6.0_h_80.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7673,Brain Lower Grade Glioma_LGG_TCGA-QH-A65X-01A-11R-A32Q-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7674,squamous cell carcinoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.575616,,,,,,,,,
I7675,p21,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7676,primary motor cortex (area M1,,,,,,,,,,,,
I7677,ESR1,CHEA Transcription Factor Targets,1,null,,,,,,,,,
I7678,osteoblasts,BioGPS Mouse Cell Type and Tissue Gene Expression Profiles,-1,-1.0351,,,,,,,,,
I7679,existence,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7680,processes,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7681,phosphatidylethanolamine flippase activity,GO Molecular Function Annotations 2023,1,null,,,,,,,,,
I7682,Tachycardia,,,,,,,,,,,,
I7683,CACNA1G,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7684,Estriol,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I7685,SIMA,CCLE Cell Line Gene Expression Profiles,1,1.66687,,,,,,,,,
I7686,calciumbinding,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7687,Abnormal Behavior,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I7688,especially,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7689,Dysphonia,CTD Gene-Disease Associations,1,1.24087,,,,,,,,,
I7690,cdna,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7691,evidences,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7692,Sodium Azide,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7693,Sarcoma_SARC_TCGA-MJ-A68H-01A-11R-A30C-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7694,enucleated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7695,Nifedipine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7696,GTEX-PX3G-2026-SM-48U1H,GTEx Tissue Sample Gene Expression Profiles,1,0.832464,,,,,,,,,
I7697,Endotoxemia,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I7698,primary motor-sensory cortex (samples)_9 pcw_M_12833,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-1.53991,,,,,,,,,
I7699,Hiccup,CTD Gene-Disease Associations,1,1.07022,,,,,,,,,
I7700,FLNA,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7701,carriers,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7702,reported,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7703,hematologic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7704,lovastatin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7705,indians,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7706,Chronic Kidney Disease,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7707,Venous Thromboembolism,CTD Gene-Disease Associations,1,1.64978,,,,,,,,,
I7708,abnormal hippocampus morphology,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I7709,GTEX-XMK1-0008-SM-4GICF,GTEx Tissue Sample Gene Expression Profiles,-1,-1.26367,,,,,,,,,
I7710,exists,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7711,anterior (rostral) cingulate (medial prefrontal) cortex_3 yrs_M_12980,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,1.16739,,,,,,,,,
I7712,15831697-TableS3,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I7713,isotretinoin-7315,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7714,Multidrug resistance protein 1,InterPro Predicted Protein Domain Annotations,1,null,,,,,,,,,
I7715,Hepatomegaly,CTD Gene-Disease Associations,1,2.53274,,,,,,,,,
I7716,Thrombosis,CTD Gene-Disease Associations,1,2.35057,,,,,,,,,
I7717,PADI2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7718,terpenoid transport,GO Biological Process Annotations 2023,1,null,,,,,,,,,
I7719,vestibular nuclei,,,,,,,,,,,,
I7720,salt,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7721,fluidity,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7722,mulberroside A,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7723,mutants,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7724,Immunosuppression,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7725,orbital frontal cortex_13 pcw_M_12820,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.04368,,,,,,,,,
I7726,Impulsive Behavior,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I7727,abeta,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7728,primary somatosensory cortex (area S1,,,,,,,,,,,,
I7729,Uterus,BioGPS Human Cell Type and Tissue Gene Expression Profiles,1,1.04976,,,,,,,,,
I7730,GTEX-P4QS-1626-SM-2S1NH,GTEx Tissue Sample Gene Expression Profiles,-1,-0.925473,,,,,,,,,
I7731,PKM,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7732,Anxiety Disorders,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7733,Infertility,,,,,,,,,,,,
I7734,remarkable,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7735,primary auditory cortex (core)_12 pcw_F_12960,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-0.899913,,,,,,,,,
I7736,L-779450,DeepCoverMOA Drug Mechanisms of Action,-1,null,,,,,,,,,
I7737,CD4+_Tcells,BioGPS Human Cell Type and Tissue Gene Expression Profiles,1,0.961284,,,,,,,,,
I7738,immediate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7739,cytoskeletal part,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.655172,,,,,,,,,
I7740,Major Depressive Disorder,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7741,GTEX-S7SF-2026-SM-3K2AS,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0152,,,,,,,,,
I7742,tm-4 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.741327,,,,,,,,,
I7743,src,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7744,PRC_Partial Depletion_GDS3531_563_human_U2OS cells,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,,,,,,,,,
I7745,Lung squamous cell carcinoma_LUSC_TCGA-56-8309-01A-11R-2296-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7746,dyskinesia,,,,,,,,,,,,
I7747,while,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7748,anabolism,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7749,Glucose,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7750,nonhodgkins,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7751,neferinetreated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7752,kernicterus,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.264785,,,,,,,,,
I7753,Myocardial Ischemia,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7754,citalopram,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7755,Akathisia,,,,,,,,,,,,
I7756,MAZ,ENCODE Transcription Factor Targets,1,null,,,,,,,,,
I7757,Precancerous Conditions,CTD Gene-Disease Associations,1,2.12553,,,,,,,,,
I7758,xenobiotic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7759,dld-1 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.552888,,,,,,,,,
I7760,myeloablative,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7761,Paclitaxel,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7762,synovial,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7763,GTEX-X4XY-0008-SM-46MVL,GTEx Tissue Sample Gene Expression Profiles,-1,-1.30899,,,,,,,,,
I7764,GTEX-Q2AG-0011-R7A-SM-2HMJP,GTEx Tissue Sample Gene Expression Profiles,1,1.16658,,,,,,,,,
I7765,alachlor,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7766,humans,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7767,neoplastic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7768,igrov-1 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.492572,,,,,,,,,
I7769,Kidney Chromophobe_KICH_TCGA-KN-8428-11A-01R-2315-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7770,GTEX-PSDG-0008-SM-48TE5,GTEx Tissue Sample Gene Expression Profiles,-1,-0.946326,,,,,,,,,
I7771,GTEX-T6MO-0008-SM-4DM6T,GTEx Tissue Sample Gene Expression Profiles,-1,-2.97234,,,,,,,,,
I7772,mesentery,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.184218,,,,,,,,,
I7773,palate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7774,HCC1428,Heiser et al.,,,,,,,,,,,
I7775,Bronchial Spasm,CTD Gene-Disease Associations,1,1.12737,,,,,,,,,
I7776,unaffected,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7777,failed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7778,kidney transplant complications,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7779,brainplasma,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7780,BRD-K93747373_HG-5-113-01_PC3_24_h_10_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7781,uterine cancer cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.701899,,,,,,,,,
I7782,DMS-53,GDSC Cell Line Gene Expression Profiles,1,1.64958,,,,,,,,,
I7783,prediction,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7784,Neoplasm Metastasis,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I7785,CD56+_NKCells,BioGPS Human Cell Type and Tissue Gene Expression Profiles,1,1.16315,,,,,,,,,
I7786,Ebolavirus(ZEBOV)_6day_PBMCs_rhAPCtreated_21987740_GSE24943,GEO Signatures of Differentially Expressed Genes for Viral Infections,1,0.02952,,,,,,,,,
I7787,PHF6,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7788,neuroblastoma,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7789,than,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7790,pathophysiological,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7791,Pulmonary Fibrosis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7792,Head and Neck squamous cell carcinoma_HNSC_TCGA-D6-6824-01A-11R-1915-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7793,tacrolimus,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7794,germ cell and embryonal cancer,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.233878,,,,,,,,,
I7795,prognosis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7796,Leiomyosarcoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7797,requires,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7798,protection,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7799,strategies,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7800,layer VI of caudal entorhinal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-2.53702,,,,,,,,,
I7801,PHKG2,Kinase Library Serine Threonine Kinome Atlas,1,null,,,,,,,,,
I7802,PMC7445530__F1,Wikipathways PFOCR,1,null,,,,,,,,,
I7803,focuses,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7804,p450,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7805,Hypophosphatemia,CTD Gene-Disease Associations,1,1.23328,,,,,,,,,
I7806,powerful,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7807,H3K4me1_megakaryocyte_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I7808,fluoroaluminum,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7809,gallbladder,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7810,helpful,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7811,diseasefree,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7812,membrane,LOCATE Curated Protein Localization Annotations,1,null,,,,,,,,,
I7813,Diethylnitrosamine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7814,multiple myeloma,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7815,dose of nevirapine or efavirenz,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7816,Epithelioma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7817,membrane region,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.134668,,,,,,,,,
I7818,Sphenoid Wing Meningioma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7819,Stupor,CTD Gene-Disease Associations,1,1.69638,,,,,,,,,
I7820,Stomatitis,,,,,,,,,,,,
I7821,cell part,COMPARTMENTS Experimental Protein Localization Evidence Scores,1,0.233497,,,,,,,,,
I7822,pharmacodynamic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7823,acquired immunodeficiency syndrome;,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7824,Drug Usage,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I7825,GTEX-WOFM-1326-SM-3MJFR,GTEx Tissue Sample Gene Expression Profiles,-1,-0.996974,,,,,,,,,
I7826,16818636-TableS3,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I7827,transduction,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
