Patient ID,association,dataset,threshold value,standardized value
I7632,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7633,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7634,Pathway Commons Protein-Protein Interactions,1,null,
I7635,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7636,CHEA Transcription Factor Binding Site Profiles,1,null,
I7637,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7638,GeneRIF Biological Term Annotations,1,null,
I7639,DisGeNET Gene-Disease Associations,1,null,
I7640,BioGPS Mouse Cell Type and Tissue Gene Expression Profiles,1,0.868511,
I7641,CCLE Cell Line Gene Expression Profiles,1,1.42143,
I7642,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-0.879145,
I7643,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7644,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7645,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7646,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7647,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7648,ENCODE Histone Modification Site Profiles,1,null,
I7649,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7650,GeneRIF Biological Term Annotations,1,null,
I7651,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.04139,
I7652,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7653,,,,
I7654,Pathway Commons Protein-Protein Interactions,1,null,
I7655,ENCODE Histone Modification Site Profiles,1,null,
I7656,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7657,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7658,GTEx Tissue Sample Gene Expression Profiles,1,1.14498,
I7659,HuGE Navigator Gene-Phenotype Associations,1,null,
I7660,,,,
I7661,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7662,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7663,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.822339,
I7664,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7665,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7666,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7667,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7668,DisGeNET Gene-Disease Associations,1,null,
I7669,,,,
I7670,Klijn et al.,,,
I7671,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7672,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I7673,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7674,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.19393,
I7675,GeneRIF Biological Term Annotations,1,null,
I7676,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7677,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7678,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.17021,
I7679,TargetScan Predicted Nonconserved microRNA Targets,1,1.99187,
I7680,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,-1,null,
I7681,GeneRIF Biological Term Annotations,1,null,
I7682,KnockTF Gene Expression Profiles with Transcription Factor Perturbations,-1,-0.60407,
I7683,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7684,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7685,CTD Gene-Disease Associations,1,1.03864,
I7686,LOCATE Predicted Protein Localization Annotations,1,null,
I7687,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7688,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.48136,
I7689,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7690,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7691,GTEx Tissue Sample Gene Expression Profiles,1,0.993093,
I7692,GTEx Tissue Sample Gene Expression Profiles,1,1.34893,
I7693,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7694,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7695,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7696,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7697,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7698,Klijn et al.,,,
I7699,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7700,GTEx Tissue Gene Expression Profiles,-1,-1.08147,
I7701,,,,
I7702,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7703,Pathway Commons Protein-Protein Interactions,1,null,
I7704,TargetScan Predicted Nonconserved microRNA Targets,1,1.55165,
I7705,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I7706,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7707,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7708,GTEx Tissue Sample Gene Expression Profiles,1,2.29985,
I7709,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.688,
I7710,GTEx Tissue Sample Gene Expression Profiles,1,1.74922,
I7711,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7712,Pathway Commons Protein-Protein Interactions,1,null,
I7713,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7714,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7715,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7716,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.06008,
I7717,Pathway Commons Protein-Protein Interactions,1,null,
I7718,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.16605,
I7719,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7720,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.427254,
I7721,,,,
I7722,MotifMap Predicted Transcription Factor Targets,1,null,
I7723,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7724,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7725,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7726,Pathway Commons Protein-Protein Interactions,1,null,
I7727,GEO Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7728,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7729,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7730,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7731,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7732,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7733,TargetScan Predicted Nonconserved microRNA Targets,1,1.55165,
I7734,GeneRIF Biological Term Annotations,1,null,
I7735,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7736,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7737,Pathway Commons Protein-Protein Interactions,1,null,
I7738,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7739,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,0.853967,
I7740,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I7741,ENCODE Transcription Factor Targets,1,null,
I7742,ENCODE Histone Modification Site Profiles,1,null,
I7743,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7744,Pathway Commons Protein-Protein Interactions,1,null,
I7745,Klijn et al.,,,
I7746,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7747,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.239197,
I7748,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.16371,
I7749,GEO Signatures of Differentially Expressed Genes for Viral Infections,-1,-1.89341,
I7750,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I7751,GeneRIF Biological Term Annotations,1,null,
I7752,GTEx Tissue Sample Gene Expression Profiles,1,1.58172,
I7753,GO Biological Process Annotations,1,null,
I7754,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I7755,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,-1,-1.81163,
I7756,GTEx Tissue Sample Gene Expression Profiles,-1,-1.53989,
I7757,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7758,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7759,GTEx Tissue Sample Gene Expression Profiles,1,1.34613,
I7760,Pathway Commons Protein-Protein Interactions,1,null,
I7761,Pathway Commons Protein-Protein Interactions,1,null,
I7762,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7763,DisGeNET Gene-Disease Associations,1,null,
I7764,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7765,,,,
I7766,TargetScan Predicted Nonconserved microRNA Targets,1,0.809003,
I7767,GTEx Tissue Sample Gene Expression Profiles,-1,-0.875819,
I7768,,,,
I7769,Klijn et al.,,,
I7770,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7771,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7772,GTEx Tissue Sample Gene Expression Profiles,-1,-1.49068,
I7773,CTD Gene-Disease Associations,1,1.12495,
I7774,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7775,,,,
I7776,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7777,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.02104,
I7778,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7779,GTEx Tissue Sample Gene Expression Profiles,-1,-1.16176,
I7780,GeneRIF Biological Term Annotations,1,null,
I7781,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.18337,
I7782,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7783,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7784,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7785,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7786,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7787,Klijn et al.,,,
I7788,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7789,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7790,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7791,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7792,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7793,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7794,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7795,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7796,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7797,LOCATE Curated Protein Localization Annotations,1,null,
I7798,CCLE Cell Line Gene Expression Profiles,1,1.44088,
I7799,GeneRIF Biological Term Annotations,1,null,
I7800,GTEx Tissue Sample Gene Expression Profiles,-1,-0.902597,
I7801,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7802,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7803,Pathway Commons Protein-Protein Interactions,1,null,
I7804,GTEx Tissue Sample Gene Expression Profiles,1,1.14225,
I7805,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7806,GTEx Tissue Sample Gene Expression Profiles,1,1.00492,
I7807,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7808,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I7809,DisGeNET Gene-Disease Associations,1,null,
I7810,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7811,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,1.43174,
I7812,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7813,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.56091,
I7814,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7815,Pathway Commons Protein-Protein Interactions,1,null,
I7816,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7817,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7818,GeneRIF Biological Term Annotations,1,null,
I7819,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7820,,,,
I7821,ENCODE Histone Modification Site Profiles,1,null,
I7822,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,1.02164,
I7823,Klijn et al.,,,
I7824,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I7825,Pathway Commons Protein-Protein Interactions,1,null,
I7826,GTEx Tissue Sample Gene Expression Profiles,1,1.24631,
I7827,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.392309,
I7828,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.468048,
I7829,DisGeNET Gene-Phenotype Associations,1,null,
I7830,Pathway Commons Protein-Protein Interactions,1,null,
I7831,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.23138,
I7832,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.12996,
I7833,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7834,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7835,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.457214,
I7836,CTD Gene-Disease Associations,1,1.3931,
I7837,CTD Gene-Disease Associations,1,1.66274,
I7838,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7839,GTEx Tissue Sample Gene Expression Profiles,1,0.852078,
I7840,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7841,HPA Tissue Sample Gene Expression Profiles,1,1.39917,
I7842,ENCODE Histone Modification Site Profiles,1,null,
I7843,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7844,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I7845,KnockTF Gene Expression Profiles with Transcription Factor Perturbations,1,1.79547,
I7846,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.76877,
I7847,DisGeNET Gene-Disease Associations,1,null,
I7848,,,,
I7849,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.199325,
I7850,GTEx Tissue Sample Gene Expression Profiles,1,1.18924,
I7851,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7852,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
